paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.017719276918843563,0.017719276918843563,-0.017719276918843563,0.017719276918843563,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.03572199697481443,0.03572199697481443,0.03572199697481443,0.03572199697481443,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.0314519241725328,0.0314519241725328,0.0314519241725328,0.0314519241725328,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.004470474849959216,0.004470474849959216,-0.004470474849959216,0.004470474849959216,,
izraelevitz2017_fig14,condition,theta_25_psi_75,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.005532574471511398,0.005532574471511398,-0.005532574471511398,0.005532574471511398,,
izraelevitz2017_fig14,condition,theta_25_psi_90,cycle_mean,one_state_ullt_local,CT,1,single_unique_condition,0.01712063447281193,0.01712063447281193,0.01712063447281193,0.01712063447281193,,
baik2012,case_phase_history,W1,filtered_1hz,fluxv_old,CL,400,phase_equal,0.42258533150041994,0.533228587804656,-0.29284371206154797,1.0153281541058903,,
baik2012,case_phase_history,W2,filtered_1hz,fluxv_old,CL,400,phase_equal,0.9429781776411713,1.0783796093886717,-0.9287584717835915,2.0053574835706307,,
baik2012,case_phase_history,W3,filtered_1hz,fluxv_old,CL,400,phase_equal,0.369874526704172,0.38650947489819987,-0.369874526704172,0.6116951080282998,,
baik2012,case_phase_history,W4,filtered_1hz,fluxv_old,CL,400,phase_equal,0.6373780604033213,0.7812438160303125,-0.3859281860489521,1.458084946387347,,
