case,phase_t_over_T,variable,value
W4,0.015625,cd,0.239454094293
W4,0.017578125,cd,0.239454094293
W4,0.01953125,cd,0.249379652605
W4,0.021484375,cd,0.249379652605
W4,0.0234375,cd,0.259305210918
W4,0.025390625,cd,0.259305210918
W4,0.02734375,cd,0.269230769231
W4,0.029296875,cd,0.269230769231
W4,0.03125,cd,0.269230769231
W4,0.033203125,cd,0.279156327543
W4,0.03515625,cd,0.279156327543
W4,0.037109375,cd,0.279156327543
W4,0.0390625,cd,0.279156327543
W4,0.041015625,cd,0.279156327543
W4,0.04296875,cd,0.279156327543
W4,0.044921875,cd,0.279156327543
W4,0.046875,cd,0.279156327543
W4,0.048828125,cd,0.279156327543
W4,0.05078125,cd,0.279156327543
W4,0.052734375,cd,0.279156327543
W4,0.0546875,cd,0.279156327543
W4,0.056640625,cd,0.279156327543
W4,0.05859375,cd,0.279156327543
W4,0.060546875,cd,0.269230769231
W4,0.0625,cd,0.269230769231
W4,0.064453125,cd,0.259305210918
W4,0.06640625,cd,0.259305210918
W4,0.068359375,cd,0.249379652605
W4,0.0703125,cd,0.249379652605
W4,0.072265625,cd,0.239454094293
W4,0.07421875,cd,0.22952853598
W4,0.076171875,cd,0.22952853598
W4,0.078125,cd,0.219602977667
W4,0.080078125,cd,0.209677419355
W4,0.08203125,cd,0.18982630273
W4,0.083984375,cd,0.179900744417
W4,0.0859375,cd,0.169975186104
W4,0.087890625,cd,0.160049627792
W4,0.08984375,cd,0.150124069479
W4,0.091796875,cd,0.140198511166
W4,0.09375,cd,0.130272952854
W4,0.095703125,cd,0.110421836228
W4,0.09765625,cd,0.100496277916
W4,0.099609375,cd,0.090570719603
W4,0.1015625,cd,0.0707196029777
W4,0.103515625,cd,0.0508684863524
W4,0.10546875,cd,0.0409429280397
W4,0.107421875,cd,0.0210918114144
W4,0.109375,cd,0.00124069478908
W4,0.111328125,cd,-0.00868486352357
W4,0.11328125,cd,-0.0285359801489
W4,0.115234375,cd,-0.0483870967742
W4,0.1171875,cd,-0.0682382133995
W4,0.119140625,cd,-0.0880893300248
W4,0.12109375,cd,-0.10794044665
W4,0.123046875,cd,-0.127791563275
W4,0.125,cd,-0.147642679901
W4,0.126953125,cd,-0.167493796526
W4,0.12890625,cd,-0.187344913151
W4,0.130859375,cd,-0.217121588089
W4,0.1328125,cd,-0.236972704715
W4,0.134765625,cd,-0.25682382134
W4,0.13671875,cd,-0.276674937965
W4,0.138671875,cd,-0.336228287841
W4,0.140625,cd,-0.336228287841
W4,0.142578125,cd,-0.356079404467
W4,0.14453125,cd,-0.385856079404
W4,0.146484375,cd,-0.40570719603
W4,0.1484375,cd,-0.44540942928
W4,0.150390625,cd,-0.465260545906
W4,0.15234375,cd,-0.495037220844
W4,0.154296875,cd,-0.514888337469
W4,0.15625,cd,-0.544665012407
W4,0.158203125,cd,-0.574441687345
W4,0.16015625,cd,-0.604218362283
W4,0.162109375,cd,-0.633995037221
W4,0.1640625,cd,-0.663771712159
W4,0.166015625,cd,-0.693548387097
W4,0.16796875,cd,-0.713399503722
W4,0.169921875,cd,-0.74317617866
W4,0.171875,cd,-0.772952853598
W4,0.173828125,cd,-0.812655086849
W4,0.17578125,cd,-0.842431761787
W4,0.177734375,cd,-0.872208436725
W4,0.1796875,cd,-0.901985111663
W4,0.181640625,cd,-0.9317617866
W4,0.18359375,cd,-0.961538461538
W4,0.185546875,cd,-0.991315136476
W4,0.1875,cd,-1.02109181141
W4,0.189453125,cd,-1.05086848635
W4,0.19140625,cd,-1.08064516129
W4,0.193359375,cd,-1.12034739454
W4,0.1953125,cd,-1.15012406948
W4,0.197265625,cd,-1.17990074442
W4,0.19921875,cd,-1.20967741935
W4,0.201171875,cd,-1.23945409429
W4,0.203125,cd,-1.26923076923
W4,0.205078125,cd,-1.29900744417
W4,0.20703125,cd,-1.32878411911
W4,0.208984375,cd,-1.35856079404
W4,0.2109375,cd,-1.38833746898
W4,0.212890625,cd,-1.41811414392
W4,0.21484375,cd,-1.43796526055
W4,0.216796875,cd,-1.46774193548
W4,0.21875,cd,-1.49751861042
W4,0.220703125,cd,-1.52729528536
W4,0.22265625,cd,-1.54714640199
W4,0.224609375,cd,-1.57692307692
W4,0.2265625,cd,-1.59677419355
W4,0.228515625,cd,-1.61662531017
W4,0.23046875,cd,-1.64640198511
W4,0.232421875,cd,-1.66625310174
W4,0.234375,cd,-1.68610421836
W4,0.236328125,cd,-1.70595533499
W4,0.23828125,cd,-1.72580645161
W4,0.240234375,cd,-1.74565756824
W4,0.2421875,cd,-1.76550868486
W4,0.244140625,cd,-1.77543424318
W4,0.24609375,cd,-1.7952853598
W4,0.248046875,cd,-1.80521091811
W4,0.25,cd,-1.82506203474
W4,0.251953125,cd,-1.83498759305
W4,0.25390625,cd,-1.84491315136
W4,0.255859375,cd,-1.85483870968
W4,0.2578125,cd,-1.86476426799
W4,0.259765625,cd,-1.8746898263
W4,0.26171875,cd,-1.88461538462
W4,0.263671875,cd,-1.89454094293
W4,0.265625,cd,-1.89454094293
W4,0.267578125,cd,-1.90446650124
W4,0.26953125,cd,-1.90446650124
W4,0.271484375,cd,-1.91439205955
W4,0.2734375,cd,-1.91439205955
W4,0.275390625,cd,-1.91439205955
W4,0.27734375,cd,-1.91439205955
W4,0.279296875,cd,-1.91439205955
W4,0.28125,cd,-1.91439205955
W4,0.283203125,cd,-1.91439205955
W4,0.28515625,cd,-1.91439205955
W4,0.287109375,cd,-1.90446650124
W4,0.2890625,cd,-1.90446650124
W4,0.291015625,cd,-1.89454094293
W4,0.29296875,cd,-1.89454094293
W4,0.294921875,cd,-1.88461538462
W4,0.296875,cd,-1.8746898263
W4,0.298828125,cd,-1.86476426799
W4,0.30078125,cd,-1.85483870968
W4,0.302734375,cd,-1.84491315136
W4,0.3046875,cd,-1.83498759305
W4,0.306640625,cd,-1.82506203474
W4,0.30859375,cd,-1.81513647643
W4,0.310546875,cd,-1.80521091811
W4,0.3125,cd,-1.78535980149
W4,0.314453125,cd,-1.77543424318
W4,0.31640625,cd,-1.76550868486
W4,0.318359375,cd,-1.74565756824
W4,0.3203125,cd,-1.73573200993
W4,0.322265625,cd,-1.7158808933
W4,0.32421875,cd,-1.70595533499
W4,0.326171875,cd,-1.68610421836
W4,0.328125,cd,-1.66625310174
W4,0.330078125,cd,-1.65632754342
W4,0.33203125,cd,-1.6364764268
W4,0.333984375,cd,-1.62655086849
W4,0.3359375,cd,-1.60669975186
W4,0.337890625,cd,-1.57692307692
W4,0.33984375,cd,-1.56699751861
W4,0.341796875,cd,-1.54714640199
W4,0.34375,cd,-1.52729528536
W4,0.345703125,cd,-1.50744416873
W4,0.34765625,cd,-1.48759305211
W4,0.349609375,cd,-1.46774193548
W4,0.3515625,cd,-1.43796526055
W4,0.353515625,cd,-1.41811414392
W4,0.35546875,cd,-1.3982630273
W4,0.357421875,cd,-1.37841191067
W4,0.359375,cd,-1.35856079404
W4,0.361328125,cd,-1.32878411911
W4,0.36328125,cd,-1.30893300248
W4,0.365234375,cd,-1.28908188586
W4,0.3671875,cd,-1.25930521092
W4,0.369140625,cd,-1.23945409429
W4,0.37109375,cd,-1.20967741935
W4,0.373046875,cd,-1.17990074442
W4,0.375,cd,-1.16004962779
W4,0.376953125,cd,-1.14019851117
W4,0.37890625,cd,-1.11042183623
W4,0.380859375,cd,-1.08064516129
W4,0.3828125,cd,-1.06079404467
W4,0.384765625,cd,-1.03101736973
W4,0.38671875,cd,-1.0111662531
W4,0.388671875,cd,-0.981389578164
W4,0.390625,cd,-0.951612903226
W4,0.392578125,cd,-0.921836228288
W4,0.39453125,cd,-0.901985111663
W4,0.396484375,cd,-0.872208436725
W4,0.3984375,cd,-0.842431761787
W4,0.400390625,cd,-0.812655086849
W4,0.40234375,cd,-0.782878411911
W4,0.404296875,cd,-0.763027295285
W4,0.40625,cd,-0.733250620347
W4,0.408203125,cd,-0.703473945409
W4,0.41015625,cd,-0.673697270471
W4,0.412109375,cd,-0.643920595533
